,review,score
0,"Arrived Heathrow on Oct 22, 2022, on British Airways flight 675 at 10:20AM. Transferred to Terminal 3 by bus to catch my American Airlines flight. Bus driver was surly and unhelpful. Entered Terminal 3 through security station 6. Absolute worst attitudes of any security personnel I have encountered anywhere in the world. First person I ran into in the line to the security point was a man who spoke poor English and screamed at passengers who could not understand what he wanted us to do. I have never seen anything like it. I can't believe management allows this to go on. His directions to get ready for the x-ray machine were unintelligible and confusing, and then he got furious when we couldn't understand his poorly worded and unintelligible instructions. The x-ray operator appeared to deliberately slow everything down and likewise displayed a poor attitude. I was returning from a trip to Athens and Greece where the security personnel were pleasant and efficient. Not so London. In the future I will avoid Heathrow if possible.",2.0
1,"London Heathrow should be a level of Dante’s hell. Yes, it’s the worst and longest walk to connecting flights on the planet, but have you ever done it on CRUTCHES? I have. The second security line, the toothpaste in a baggie, the rude and surly staff, the elevators and trains and broken equipment, the whole nine yards. Naturally, the wheelchair I asked for was not at the gate. I asked for a wheelchair from someone, and was told I didn’t have time. I guess I did have time to hobble three miles to gate 47, though.",1.0
2,"My elderly mother who cannot walk, was left in the WC assistance lounge, which was totally mismanaged with very poor coordination. Despite reminding the staff multiple times that her flight was getting boarded and she needs to get to the gate to board her connecting flight, the staff was very rude, and had a laid back attitude. Eventually they dropped her to Gate 16, instead of her Gate 22, 20 minutes before flight departure, and causing her to hobble with her cane and carryon baggage to the correct gate, so that she would not miss her flight, making her the last person to board the flight.  I understand that some may use WC for convenience, however for a person like my mother who cannot walk because of recent surgery and medical diagnosis to be subjected to this type of behavior and attitude is totally uncalled for, especially as asked for accommodations to be made for her in advance. We are dreading her return trip through your airport.",1.0
3,I try to avoid transferring through Heathrow but this last time AA changed my flight via Philadelphia and rebooked me through London. This airport is as old and craggy as it was last time I transferred through here 10 years ago. Doesn't Britain have a power grid? They always seem to have power failures. I've traveled through third world airports with more sophistication. Never again!,2.0
4,"Terminal 2 arrivals awful. The staff were forcing incoming passengers to use the passport e-gates despite the fact they were not working,  insisting each passenger try several times to use them before allowing passenger to get their passport checked by a staff member, all making for very long queues.",2.0
5,"I arrived in T4, looks and smells old and outdated, its not changed in 10yrs+ I've arrived there. I breezed through passport control, which was great, but it took 1hr for my suitcase to appear. It's all done with lasers and computers, but this actually makes it a longer process. And because the passport control is slow for non UK residents, those passengers take ages to come through and their bags stay on the belts for ages so no new ones can come out. After 30hrs travelling, no one wants to stand around for another hour waiting. Me and a few passengers ended up pushing bags closer together to make room so the lasers would find bigger gaps so more bags would come out. I'm gobsmacked this terminal has not been updated in more areas. Seems to be a lack of staff.",5.0
6,Terminal 2 is pleasant enough. Plenty of food options and enough seating. The e-gates at passport control are a complete joke. We are a family of 4 and 3 of our passports were rejected by the e-gates. There were plenty of others as well in the same boat as us. I’m all for cost savings but at least come up with a fit for purpose service before getting rid of staff. Usual shambles at baggage handling reclaim as well but at least it was better than Toronto Pearson airport - damned with faint praise!,3.0
7,"Heathrow now charge £5 just to drive in, stop for 30 secs to unload passengers and then drive out. When we were dropped off the entire designated drop off area was 75mm deep in water. We had to push our cases through while wading behind, then sit in a plane for 7 hours in soaking, ruined footwear.",1.0
8,"I missed my flight due to some medical issues and I was granted by some vouchers of hotel. In going to hotel, Aqeel Ahmed the security manager, helped me lot for getting there and make me helped for coming out from terminal. I am really very thankful for his care and concern. Thank you so much",10.0
9,"Lets start off with the signage to return your rental car, or should we say lack of it. Check-in was easy as there was no queue. The same cannot be said for security which took 25 minutes to clear at one point absolutely nothing was moving. Again signage is bad as they have the newer X ray machines that don't require you to remove your electronic devices but that isn't mentioned so most people start to unpack only then to be told you don't have to. Once through, T2 isn't that bad the LH lounge is quite nice, there is room for improvement though.",5.0
10,"It was a happy day for me and my 2 kids, we was traveling to Kenya to visit my family, when we arrived I was told that my kids must have PCR test otherwise I have to cancel my flight. To make the matter worse, we didn't have enough time to get it done, I started to panic, talking with airport assistant but nobody could help, then I came across this beautiful lady, Rashelle. I told her all the issue and she assured me she will do everything it takes for us to fly, I trusted her, she made a lot of calls with my airlines (Rwanda Airlines) then she booked my kids antigen test, (all with her phone). After the test were booked, she had to run with me to testing point (holding my 7years old daughter hands and carrying her backpack) because we had only 30 mins left for the flight to took off. She rushed everything as quick as possible until we was in the flight. I will remember and bless this lady all my entire life, she came to a rescue where it seamed like there was no way, and more importantly she reminded me that, there are still good people left in this world. She just needed a huge hug from us as a payment.",9.0
11,Such a terrible check in and security experience - the queues are ridiculous. There seems to be more staff managing queue a than people actually checking in or conducting security checks. Horrific start to a journey - particularly when compared to arrival journey through several other airports. Would avoid if possible.,2.0
12,"Is this really an international airport? There were no staff to serve anywhere. Of the 15 lanes at the north checkpoint, only 5 were working. People were lined up in queues and the English whistled indifferently. No protection for the coronavirus. Flights were delayed because there were no staff to help park the planes and people to load the bags on the plane. The suitcases took over half an hour to come off the belt. Both departures and arrivals are sure to be delayed by two hours. Really unacceptable situations for such a large airport. Find alternatives if you want to travel through London.",2.0
13,"My son and I arrived from Dubai on the 19th July. Everything went smoothly till the flight landed in Heathrow at 8pm ahead of schedule. Had a 20 min delay to disembark due to ground staff shortage. Finally, we were collected by my husband from the car park at 12.45am, after a 4.5 hour wait for luggage. The luggage hall was full to the brim with passengers waiting for luggage and the only information given was that the delay was due to staff shortage and weather! I have seen comments from LHR chiefs that they do not have staff because the airlines are not paying a fair wage etc. At the end of the day, if the airline industry and the airports are to survive they really need to improve their service. After Covid airports want public to start travelling again but the way the airports are managed currently we will not be flying for the foreseeable future, which could be a good thing considering the way the planet is heating up! My recommendation for anyone arriving at Heathrow is to make sure they come prepared for a mini holiday in the luggage hall!",1.0
14,"My small child and I arrived on a late flight for a 12 hour layover in order to continue home to the United States. Upon arrival the staff instructed us to continue on to the “family line” to pass through border control. I was stupidly naive believing that the family line would be quicker and more convenient. I couldn’t have been more wrong. The “family line” was hundreds of parents, babies, and tired toddlers and one border control agent. On the other hand the line for non-families was virtually non-existent with travelers speeding through. After standing in line for nearly an hour that’s not the worst part. By far the worst part was the border control agent herself. She was beyond rude and hostile.",1.0
15,"Will never go back to Heathrow. We were traveling from Geneva to Seattle, via Heathrow. After landing at Heathrow, we proceeded to the International Departures area, which led us into a huge room fronted by a line of machines which read your boarding pass, and let you through into (eventually) a line to pass through Security into the departure terminals. This room was completely uncontrolled, no lines, no PA system, just complete chaos, as people packed the room. It turned out that Heathrow staff weren't letting people through the machines, as they shouted over the din of several hundred people talking, trying to get the people with the earliest flights to come up front to pass through. This was the worst organized area I've ever encountered at an airport. Simple improvement would have been to have actual lines, with a PA system or signs directing people to the lines for the earliest departing flights. Instead we stood packed together for over an hour while we slowly progressed towards the front. We won't do that again, next flights will transit through another airport, we won't be using British Airways, even though this wasn't their fault.",1.0
16,"We frequently fly through or to London and it has always been a challenge but today is an experience of unbelievable magnitude of incompetence, understaffing, deliberate indifference to serving their customers in a professional manner. Today’s experience included waiting in unimaginable lines just to get in the entrance to Terminal 3 of over an hour, another hour wait to get to security of an hour.  We grabbed a bite of lunch and watched an elderly man collapsed. the seats next to us and unable to make it to his gate. His daughter and granddaughter frantically trying to get help, find help or any airport personnel. None were found, those found either said they could not help, could not touch him or simply disregarded their family’s request and mine. Heathrow experience very disappointing",2.0
17,Fast Track closed. 2 hour queue for security. No social distancing. No assistance. Complete lack of any customer care whatsoever. The airport is not fit for purpose at the current time.,2.0
18,"London Heathrow disappoints once again - on arrival on a British Airways flight from Vancouver, I waited over 90 minutes for luggage to be delivered. Airport staff said baggage handlers were ""busy"" and to expect our luggage to arrive ""soon."" No apology for the delay, nor ETA provided. Arrival area of Terminal 5 very stuffy - no air conditioning, and no where to sit. Passengers had to sit on the floor or on luggage trolleys while waiting for the luggage to arrive. Departure from London Heathrow to Vancouver was worse - security staff were very fussy about the kind of bags used to contain liquids. Furthermore, at Terminal 5C, there was one Starbucks shop open. Considering this is where Airbus 380 aircraft - which can hold up to 500 passengers each - depart, this was woefully inadequate. Our flight was significantly delayed, and we were told, at around 8pm or so, that all food and drink stores at Terminal 5C had shut down for the night - so no food for passengers available. Staff told us it was not possible to return from Terminal 5C to main Terminal 5. As such, Terminal 5 is very poorly operated. This is not a world class airport by any means.",4.0
19,"Extremely rude security staff. I had a layover here and was made to go through security again (unknowingly) in which all of my items were removed from my bag, unorganized and thrown away while the staff member made unnecessarily rude commentary toward me. Would not recommend this airport and definitely will avoid in for future travel. Terrible experience.",1.0
20,"After arriving from Venice on a British Airways flight to connect to another British Airways flight to Pittsburgh, we had to wait in an interminable line of people to get to another line of hundreds of people to get to another line for security. We waited in line for over 2 hours and finally begged security to let us through or we would miss our flight. They were rude but let us through. Then we had to take a bus to the gate for our flight, we barely made it. My husband and I are in our 70's, we were exasperated as were all the other people waiting forever. Security could not have cared less who had to be where or at what time. I would not fly British Airways or go to Heathrow airport on a free trip. In all our years of travel all over the world it was truly the worst experience ever. Something has to be done about this system, you should not have to go through security again when you are transferring from one British Airways flight to another.",1.0
21,"Hard to believe that this airport could get worse, but it has. I will do anything possible to avoid it in the future, horribly long, mismanaged security lines.",1.0
22,"The flight landed at 4pm, I am writing the review at 6.40pm and I am still having one more hour at least in the unbelievably long queue of the borders. Adding to the pain of the 7 hours flight and 3 hours in the airport before the flight and at least 2 hours to reach my hotel. This unacceptable, absolutely ridiculous.",1.0
23,"Appalling treatment of passengers at Heathrow T2 this afternoon. It is clear they do not have enough staff to cope with passenger numbers. Either limit flights, have more staff (and not just inside the terminal ground staff too) or add additional gates for scanning boarding passes. There were customers zig zagging the terminal in out and back in again. Staff looked exhausted. Every staff member I spoke to had the same response ""not enough staff"" . After almost missing our flight we then sat onboard for an additional 90 minutes whilst ground staff scrambled to find baggage handlers. Then there was no vehicle to push the plane back. 2 hours delay.",1.0
24,"Very slow security and rude staff. I went through security and it beeped. Asked what they told me to and stepped to the side and waited. Another man behind me had to be shown aside. I waited a few moments and the security staff looked me dead in the eye and said “take your shoes off” I put them in the bin and she just looked at me. She said, “please do what we tell you to” I looked behind me and the man had to take his shoes off. But she was looking at me so I thought I had to take mine off. I said, “sorry I thought you were talking to me.” And she said, no with a smirk. Poor communication and awful staff.",1.0
25,Their quality assurance and professionalism is very poor. They beat around the bush for months only to close out a complaint we made. My wife was hurt in the bathroom and they never apologized nor refunded us for her first aid items. They are right at the airport to obtain a receipt yet wanted us to call all the way from another country long distance to ask for a receipt. They asked for it months later and never said anything in the beginning. They did this to avoid reimbursement which means they are dishonest. We missed our connection due to their poor service and bad workers who were extremely rude. We were rebooked on a flight which caused us to need a hotel at our expense. It took over 3 hours to get rebooked. We will never use their airport ever again.,8.0
26,"Ridiculous queues, chaos reigns in T2. Too few staff and no order or segregation for queues trying to get to automatic boarding pass check (scanning) machines. If only there was a way of knowing in advance how many passengers would travel each day?.  Boarding queues at lower Gates (A25/26) equally chaotic. As a frequent traveller and someone who has worked in the industry for over 26 years I find this inexcusable.",3.0
27,"I don't know why people criticize this airport. It's not the world's best but it's functional. Security was quick, it's busy but there is short walks to the gates and there is water dispensers. I don't care if staff are not friendly to me.",8.0
28,"First time flying from Heathrow and was apprehensive following all the cancellations of our trip caused by Covid and then the recent news of queues and delays. I had to need to be. We flew from terminal 3. Parking in short stay was easy with a short walk to virgin check-in. No queue at all, done in 5 minutes. Next to security, which I always dread. It was the best I have ever experienced. Staff were calm and courteous, no shouting or yelling instructions. Consequently the passengers were also calm and we were through in no time, not feeling stressed at all. We used the Aspire lounge, and found it a very relaxing place to spend a couple of hours before our flight. The staff were delightful and the food and drink good and plentiful. Our flight was called and when we reached the gate we were straight onto the plane. A brilliant start to our holiday, would not hesitate to travel from Heathrow again.",9.0
29,Terrible baggage service. Waited over 30 minutes for my bag to arrive as well as half of other passengers. Automatic identity check doesn’t work. Would have travelled through Gatwick if it was closer. Don't understand how they can’t do such a simple job of transporting the bags to the belt on time!,4.0
30,"Travel destination was Los Angeles from London Heathrow.  I cleared the main airport security pretty quick and patiently waited at the gate for boarding. The boarding started and eventually my group was called towards the end and as I walked along the ramp a young lady checked my boarding pass and said I was randomly selected for additional security check. The security check was quite thorough and detailed including pat down and item by item inspection. I didn't know I had the dreaded SSSS on the boarding pass and the Airline could have warned me. It would have made sense for the airline to have prioritized the passengers for the additional security check passengers so that the risk of missing the flight could be reduced. Also security staff who were from a contracting company should have been more communicative of what an additional/secondary security check entails, who or why it was ordered and what they were looking for.",3.0
31,"When Virgin Atlantic switched from Gatwick to Heathrow for its flights to Orlando I was originally quite pleased. It is a much shorter journey to the terminal building. Well distance-wise anyway. Pick-up drop-off by car currently costs £5 per visit. The roads are jammed from the M4 right up to the terminal. I am sure it took longer to travel from the M25 / M4 junction to terminal 2 that it usually takes me from the M25 / M4 junction to the North terminal at Gatwick. The check-in side of the terminal is packed with people and the standard of cleanliness and upkeep is vaguely reminiscent of a grimy 1970's British railway station. Once checked in and past security there is a shopping mall with some boarding gates attached. The restaurants are packed with lines of people waiting to buy a vastly overpriced meal (Captive audience I guess). The seats in the waiting area are reasonably comfortable but you may have to clean them yourself if you want to sit down. The whole area is noisy, packed with people, and claustrophobic with some of the worst lighting. The gates are small and cramped and ours didn't have anywhere near enough room for all the passengers on the flight. The aircraft was less than half full. Safe to say I hate Heathrow terminal 2 and all the garbage it makes everybody put up with. An awful ghastly place to be avoided if at all possible and only endured if you cannot avoid it.",1.0
