,review,score
0,"Used the Airport for an early morning flight to Malta. In view of previous warnings and horror stories we got there hours before departure. The bag drop with EasyJet took about 10 minutes, and we were through security etc in another 15, so no complaints there. We managed to fill up our water bottles and do some duty free shopping. The Departure Lounge was busy, but there was no problem finding seats. Take off was on time. On the return journey a few days later, we were quickly through immigration (and the machines actually worked) and we only had to wait another 10 minutes for our bags to appear on the carousel. Overall a stress free experience, and hopefully this is now the norm for the future.",8.0
1,"After arriving on the Lisbon to Manchester TAP flight which landed at 17.20 on Friday 14th October, we were obliged to wait for 40 minutes on the plane because the certified person at the airport to link the airport bridge to the plane was missing! We then waited a further 40 minutes for our bags to arrive at the baggage delivery carrousel. The TAP crew kept us informed saying that they were constantly trying to connect to the airport authorities who simply ignored them. What an awful airport Manchester has become.",1.0
2,I have just been through Manchester Airport security and I have no words to describe what a shambles it is!! I have travelled extensively and through airports across the world and this is the worst experience in my life. I am totally at a loss on the level of incompetence and the only people responsible for this is the management team at this airport. Can someone please tell when Vaseline became a liquid!! This did not happen to me but to someone waiting for over 30 minutes in the queue.,1.0
3,"My july visit to this airport is an absolute joke. People jumping the ques at security and they didn't even do anything to stop them. The food in the place was £20 for a burger and chips, £5 for a pint, arrivals was not too bad. October visit was even worse dropping my disabled auntie off no marshals outside T2, no one to meet her either, had to go inside and abandon my car. Thinking free parking with a blue badge, well no, my auntie should of had the blue badge even though she is severely disabled and cant drive. This airport is an absolute joke of a place.",1.0
4,"Security is a disaster! OMG, What a huge mess their security line-up is. I have travelled all over the world and this place is a chaotic mess. The security setup is abysmal. It was so disorganized and such a mess, I almost missed my plane and they didn't care at all except for one lovely agent who saved my day",2.0
5,"Absolutely shambolic! This airport is a total waste of space. I have travelled quite a lot and have never experienced such a bad travel experience. This is not a new thing. I have never been happy traveling from this airport but it has now become such an awful experience that I would rather stay at home than travel via Manchester. There seems to be a strange culture amongst the limited staff of the customer being just an inconvenience or a nuisance, can't quite decide if this stems from, no training or, bad training but they show a complete lack of concern for the customers who pay their wages. I, like many other travellers, am always a little anxious when travelling but by the time I got through security with people bullying and shouting instructions at everyone I was a nervous wreck. I needed a stiff drink but that was just another stressful experience, 30 min wait and only one staff member I travelled from T2 and the only good thing I can say about the place is that I got plenty of walking exercises. Whoever designed the place should be sued along with the people who passed the design. A ten-minute walk to get to the toilet that had two dirty cubicles in it, fancy designed toilet roll dispenser that was thick with dust and not one dispenser worked, good job I carry tissues. An absolute joke of a place. Well, they won't be getting my hard-earned cash in future. Maybe a boycott from customers and airlines might prompt them to get their act together.",1.0
6,This was the worst experience of my travel experience. Terminal 2 miles away. No seating areas. The pick up point for taxis etc is a absolute shambles. Will not be travelling from there again.,3.0
7,"We used Manchester Terminal 2 for our 06.10 flight to Majorca last week. Self checking in of baggage was a little better than when we did it in March, then it was chaotic. Going through security wasn't too bad, in fairness it was pretty quick, and the staff were pleasant. Then came the toilets, very few were working, dirty, no toilet paper, no soap, and this is at 4.00am, do they ever get cleaned? All areas after duty free, the food court, the passageways and the departure gate areas, were dirty. That brings me to the departure/gate staff - rude with a couldn't care less attitude. We came back from Majorca yesterday and disembarked at terminal 2. The Skybridge was dirty and full of litter. The toilets, again those that were working, are disgusting, dirty, no toilet paper. Passageways were still dirty. However border control was excellent, quick and again pleasant staff. Baggage reclaim was an absolute joke, 2hrs 20mins waiting for the bags to be unloaded. We found out that the Swissport baggage handlers, ALL FIVE of them, had 5 planes to unload which had landed within 15 mins of each other, so they did a great job. However, the same thing happened in March, 6 months ago. Covid is no longer an excuse, staff shortage and training is no longer an excuse, blaming contracted out servicing companies is no longer an excuse. What was once a great international airport is being managed by poor, incompetent, so called ""managers"" If at all possible, I will never use Manchester airport again.",1.0
8,"Worst experience of my life. I am fit and healthy but my wife has difficulty walking great distances and the walk after check in to the gate was horrendous. Manchester Airport gave no regard for the public, just finances and their own ego. This huge terminal is designed to handle up to 25 million passengers a year in complete discomfort. The seating is insufficient, the rolling pathways don't work, the building work is nowhere near finished and its filthy. Get your act together, you are a disgrace to the airline industry.",1.0
9,Terminal 2 bag drop and security no problems. The problem was getting food and a drink. Had to queue 30 minutes to get served. When i went to get another drink had to queue again for another 30 minutes even though i was already at a table in the bar. Badly organised service having to wait an hour in total to get served.,5.0
10,"Woeful and depressing experience.  Had to fight with security for them to agree I was travelling Business Class. the wait at FastTrack Security was 35 minutes. they then insisted I unpack because I had a bag containing an Apple Watch and chargers - they only got to that point after they had emptied the entire contents of my backpack, right there at security - that cost another 40 mins. when I complained I was met with a glib response and a don't believe all the reviews sir answer - baffling. If you have any choice of airport - make it and choose not to use Manchester Airport - its a disaster.",1.0
11,"Entering the Airport complex was very straight forward, junction 5 of the M56 and you were there, but that's when the problems occurred. I was totally confused, and the direction signage were designed to confuse the visitor. Every wrong turn i made, in my effort to locate terminal 1, and its parking area, resulted in having to pay £15 or 3x £5 to open the three separate exit barriers. It is grossly unfair to charge someone every time they take a wrong turning, due to the poorly laid out direction signage. On entering Terminal 1, directional signage, for a total stranger was very poor, resulting in a visit lasting nearly an hour, due to the long queue in the Lufthansa check in. In all, the parking levy cost me close to £30, and I was only supposed to be dropping someone off quickly. Not a nice first time experience, and i really hope i do not have to go back any day soon.",3.0
