,review,score
0,"Horrible experience. Meet and greet parking - a man points to the space, then you attempt to self check in… Not enough space in the terminal for the numbers of people going through. My husband lost his Fitbit at security. Queues outside all of the bars and restaurants. Lots of people sitting on the floor. Felt so sorry for the unhappy staff, imagine having to go to this miserable place every day. A few hours is enough. Felt relieved to read the reviews that this is not the new normal",1
1,"Extremely rude staff at baggage check. Unhelpful. Struggled with closing a plastic bag which they insisted that I had to zip up. Was also told that I should try harder or get out of the way. Eventually after refusing to help because it wasn't his job to assist, the member of staff did help but subsequently  made the comment that it wasn't so difficult after all if you tried hard enough.Never experienced such rude behaviour at an airport. Supervisor was in earshot and dealt with other customers in an equally disrespectful way. Wasn't busy as it was just after 5 am so staff were not stressed.",1
2,"Utterly, totally clueless at security. Putting trays through in a different order to passengers queuing to go through the body scan and collect their luggage doesn’t work. Trays get pulled for inspection and then those people are still the wrong side of the metal detector. No more bags can then come through and no one is there to claim their bag and keep the process moving. Stood waiting for 15 minutes for my bags to come through whilst they tried to unpick the problem. All the gear, no idea is probably a good summary. Just sort your airport out as it is without doubt one of the most soul destroying places in this planet.",1
3,"Have collected family from Manchester airport 3 times this year and every time it took over 1 hour from the plane landing to them collecting their luggage.To make matters worse they charge you for parking in that time between £10-£20 and this time there was a further 30 minute queue to get out of the T2 west carpark, so it charged an extra £6 at the barrier for making me queue for 30 minutes just to leave a car park.Going to book an airport further away for my next holiday, not worth the hassle.",1
4,"What a truely, grotty depressing place. Ripped seats everywhere, dark depressing interior.A most unpleasant experience, whether arriving or departing & tbh, a National embarrassment.All the more surprising as 'extensive' renovations have been a constant feature for years.It can't be due to a lack of funds.You stand still & you have to pay a fee!!",1
5,"I went to pickup from T3 today. Trying to get to a pickup area is a nightmare, the signs don't make any sense, direct you into areas you don't want to be, and then you can't get out of. The fact that they charge for dropoff and pickup  is bad enough, but at least make it easy!Obviously they have never asked anyone who isn't familiar with the airport to try and navigate the roundabouts and get to the pickup area. These are things that could be so easily fixed, but Manchester Airport has become a bit of a joke.",1
6,"Just returned home from a trip to Europe. Flew in and out of many airports Manchester stood out as the worst one by miles!! The experience was terrible, huge queues to get through security. Many people missing flights and most flights delayed. I think it’s the worst airport I have ever been to. Will ensure I never return",1
7,"The charges for being dropped off and collected are just shocking.  Absolute rip-off, and especially egregious given that the drop-off experience is very poor.  Getting a taxi is a woefully painful experience, where you have to navigate short stay car parks to get a cab!  And Terminal 2, who designed it with so few travelators, and 8 flights of stairs to get down to the plane.  Worst airport I know in Europe.",1
8,Manchester airport is a shambles. Security was long and painful. Staff had no idea what they were doing. Very slow and happy to have long conversations with colleagues. When asked to speed up as we were going to miss our flight we were met with sarcasm and rudeness. After that our flight was delayed for eight hours. We have no idea why as we were not spoken to properly it again met with rudeness and aggression when able to speak to someone. Guys at San Carlos were excellent and so was the food.,1
9,"This airport is possibly the worst in the world. Absolutely miserable and extremely rude and unhelpful staff, terrible, lazy customer service. Awful terminal design, chaotic systems and no regard for customer experience. would rather drive to the other side of the country than use this airport again",1
10,"Manchester airport is possibly the worst airport in the UK. It is such a rip off as it is poorly marked for parking and when you take a wrong turn, you have to pay at least £6 to get out. Disgusting and immoral.",1
11,"Paid £5 to drop off my wife and her three sisters, three hours prior to departure. They are still in security with a departure of 6.55 as I write this at 6.40. I personally wouldn't use this joke of an airport, but that was the package they bought. Let's hope they actually get there.....",1
12,"Total incompetence, from start to finish, unfortunately behaving like a monopoly. Car park booking system is down, customers keep trying, but they don't put a notice on the website. Customers' cards then get blocked because of failed attempts. THESE GUYS DO NOT CARE LESS.............",1
13,Worst airport in the world.  I travel extensively for work and avoid Manchester airport if possible.  Security have their own rules that are not applicable at any other airport.  I can only assume that no one who works at the airport has travelled through other airports.   Once great airport ruined by incompetent management and staff.  Shambles.,1
14,"Flew into T2 in the early hours on a delayed flight from Antalya!Despite there being 3 flights arriving in the same hour, it took nearly 2 hours for our luggage to reach the carousel.We were told to move carousels twice only to be the re-directed to the original one, but that’s incidental and pretty much par for the course here.When I unpacked my luggage on my return home it was absolutely wringing wet through, so clearly had been left uncovered in the Manchester rain.This really is the last time I will use this airport the place has become a complete shambles!!!",1
15,Not great - problem getting into pre-booked car park - security was a nightmare - not enough lanes open for the amount of people - the staff that were on tried their best(not their fault) - but not enough of them,2
16,We paid to use the 1903 lounge at terminal 2 first thing in the morning. What a waste of money. The breakfast items were cold and must have been sitting at the buffet for quite a long time. Never again. Paid for fast track and had to queue with everybody else to get through the scanners. Again a waste of money as it took over 30 mins.,1
17,"Still no improvement with the level of customer service at security. Absolutely diabolical - thought I'd upgrade to business - check Inn great, lounge ok, despite a 15 minute queue to get in -....rude and incompetent security staff let the place down yet again.",1
18,"Returning from Alicante via Jet2 on Thursday 13/10/2022 at 14:17.Long walk from aircraft to border gates..no moving walkways working. Filthy floors. Was ushered in assistance queue, nothing was moving. Moved over to self-scanning queue, nothing moving.Taken out of that queue and put into 'faster lane'.Nothing moving. Border forces ride, shouty and idle.Huge lines of travellers, not enough gates manned.Eventually got out of terminal, asked for a cab...told 25 minute wait!!!25 minutes for a cab at an international airport??Just getting worse and worse.",1
19,"Over the years I've travelled through many airports in many parts of the world.The one I have used most for the past few years has been Manchester as it's now mainly just holidays.It has never stood out in any way.It's just been a relatively efficient means of putting people and baggage on and off planes. It is now begining to stand out as an airport in decline. Dirty, understaffed, illmaintained and consequently producing neither a smooth or pleasant experience. Although they would claim otherwise I believe the failings can almost all be attributed to poor management. Even the surley attitude of some staff can be laid at their door. While we are somewhat of a captive clientel I will deffinately consider alternative airports until things improve.",3
20,"Absolute shambles! Still sat on the plane after half an hour waiting for the walkway. Apparently, there is rubbish in there that needs moving. The place is unfit for purpose!",1
21,"Worst airport i've ever been too,Expect someone who is disabled who cant drive and to have a blue badge to drive them self to terminal 2 and abandon their non existant car outside the terminal to get free dropoff and also have non existant marshalls which wern't there also a person who was supposed to meet the disabled person wasn't there",1
22,Travelled from Manchester Airport yesterday. APPALLING! Wake up and smell the coffee everybody.DON’T USE MANCHESTER AIRPORT!!!!WORST EXPERIENCE OF TRAVELLING IN THE LAST 38 YEARS!AVOID LIKE THE PLAGUE!,1
23,This is an appalling experience. Q's are outrageous for everything. Staff have stopped caring and its becoming obvious that management has left the building. However the debacle of borderforce and the unacceptable delays indicate a serious lack of professionalism and are not reflected by my experiences at other UK and European airports. Given the fact this government agency fully financed by tax payers it's an poor reflection on the UK government. It very disappointing that Greater Manchester authority and the mayor are not making the government account for the failings. The sick man of European airports and quite frankly a shame on Manchester.,1
24,"Arguably the worst airport in the UK.Where are the managers of this debacle , where do they hide, why do they fail to take any responsibility to get feedback from travellers. You can only guess. That underground bunker must be pretty cosy away from the ridiculous ques and failings for service in all departments .",1
25,"Back in February 2022 we booked the Escape Lounge in Terminal 2. Unfortunately due to the storms in the UK we were delayed as roads were closed due to flooding and fallen trees making it impossible to get to the lounge on time. Not only were we delayed due to the floods, Manchester Airport queues to check in were rediculous and even longer queues to get through security resulting in not being able to go in the lounge. The reception staff at the lounge informed us we would be able to get a refund. Not the case as yet.As soon as we returned from our holiday we reported the problem and was even given a case ID number. After many more emails we still haven't received a response. We are now in October ! Terrible customer service.",1
26,"Only giving one star as not an option for no stars. We flew home on the 23rd of August to find our car parked using the drop and go service had been damaged. Guy took photos and said they would investigate and reply with 10 days. Given email to contact if this didn't happen which we contacted only to have a ""we will reply within 10 days"" response with no reply yet again. Car was parked as it someone had abandoned it.",1
27,Disgusting member of staff from swissport (Chris woodcock). Scaring my young daughter to the point she was in tears. Telling us she wasn’t disabled even though she had a daffodil lanyard around her neck. He wants sacking!,1
28,Awful ques going out and appalling they don't have enough staff to open the aircraft doors when returning. Kept us on the plane 40 minutes at 2am. We will probably travel using another airport next time,1
29,Me and wife just came back from lanzote on 2nd October it was bad for us this time going and coming back and when u complain they just ignore all the complaints.,1
30,"Disaster is too good a description for this disgusting experience in T1. Cost £5 to be dropped off ! My wife and I are over 80 and it took nearly 2 hours to go through security. Ridiculous manual checks of hand luggage, insufficient officious staff and the security rammed full of travellers- nearly missed flight. Then we had to carry our cases up and down narrow dirty stairs. Duty free had more staff than security DON’T USE THIS DISGUSTING PLACE - What an advert for foreign travellers ! TRAVEL from Liverpool if you can",1
31,"By far the worst airport I've flown out of. Very expensive parking, you are even charged to drop off and pick up. Security is lax and disorganised, 3 times the amount of staff in the duty free shop than in Security. Lack of maintenance and investment in the buildings and infrastructure. Friday afternoon and half the restaurants are closed. Do yourself a favour and fly from Liverpool John Lennon.",1
32,TERRIBLEHaving travelled the world this was by far the worst airport I have transitioned through to say the least. The Security is awful it was literally like being herded like cattle! A security man spent at least the 20 minutes of queuing shouting at people like an SS officer it was extremely unnerving and one person near me likened it to scenes in a movie where Jews were being herded into cattle carts (they were not far off!)! The extreme nature of the security was too much especially compared to other airports sending people the whole way back as punishment for forgetting things like a lipstick or a charging doc or wires like phone chargers!! A heavily pregnant lady was shouted at and demanded she removed her boots they would not allow her to even sit down to do so!! To say I was appalled would be an understatement. Poorly done Manchester,1
33,I have travelled all over the world including many third world countries. This is the worst airport ever. The security took forever - bags were taken out for manual search - and the staff were undermanned and very uneffecient. The airport itself looks like …. Avoid it if you can.,1
34,"Wow if you are looking for a an outstanding example of poor planning poor execution and downright incompetence this is the place for you. Is so bad is almost good, from the terrible website to the  awful staff this place has it in spades. If this was a real business with real competition it would be dead an buried, but it’s not, so welcome to the grave yard of ambition and stand by to take one straight up the tail pipe and expect to pay through the nose. Welcome to England.",1
35,"SPECIAL ASSISTANCE - what assistance?Booked as husband wheelchair bound - can walk a few steps but aided. At Term 1 girl on desk too busy flirting with men to actually look at boarding pass then asked if I could push him through!! As queue was very long so did as wtg for someone to do it would take forever. Took 1.5 hrs to get through security no help at all. Then when boarding had to push to gate, finally had help to get on plane via ambulift.Return journey worse on arrival at Term1 - was last but one to get off plane - young girl brought a wheelchair and just stood there chatting not helping him, I had to gather 2 bags, stick, coats then drop them to help him onto wheelchair whilst she just stood there, then told me that I could push him plus baggage to passport control (long long walk) !!!Then to carousel to get wheelchair and when got down there she was sat on chair having a rest!!! My husband and I are both 73 yrs he has had stroke so paralysed one side, openheart surgery and broken hip - this young blonde girl was about 19/20 yrs and she was a lazy lazy person. Plus two other young assistance people were sat around on mobile phones laughing and giggling. This was on Easyjet flight arriving 13.25 19 Oct.A warning to all disabled persons - DO NOT EXPECT HELP AS YOU WILL BE VERY DISAPPOINTEDWe fly around 3 times a year from Term 1 and it is always same so do not think will bother booking assistance again.Other countries we go to have fantastic one-one help and are great - Manchester worst airport EVER",1
36,Probably my worst experience at an airport. Most of the restaurants were closed. The only one open wanted you to order your food from an app but the Wi-Fi and 4g was so weak that you could not process the order. Very few staff and huge wait times for food. Flying is no longer an adventure when you are treated like cattle.,1
37,"Car parking is a rip off!!!In this time of economic crisis, didn't know the airport will be so greedy",1
38,The automated self-check in for Qatar Airways at Terminal 2 is awful and obviously has been brought in without sufficient staff training. This needs to be addressed asap. Our daughter in law and 8 year old granddaughter had to wait in 2 long queues and their weren't enough trained staff able to help.,1
39,Travelled through T3 this morning the 2nd October. After queuing for security for 45 minutes through what can only be described as a maze the end line was almost in sight. What we didn’t bargain for was one of the officers randomly selecting passengers for what was obviously a faster check point. This resulted in passengers who were at least 10-15 minutes behind us in the queue passing us out and getting through security ahead of us. They make it up as they go along. I have flown through Manchester many times and it is miles behind Heathrow in every aspect. Grotty and run down. If you can avoid it like the plague.,1
40,"I could just quote every negative point previously described from most of late passengers.....rude staff, no organization, 2 people yelling at us ( not remembering that they have a job thank to us), slow and late service...ages at the check in, ages at the controls, ages to get into the plane. A lot of rudeness in the middle. Avoid",1
41,"This airport does wonderful things for UK and Manchester Tourism.  They compare equally to airports in Afghanistan, Belurus and Ethiopia.  The security people are so wonderful as to create their own rules for the safety of the traveler.  They were kind enough to create signage directing people around that PHD's could understand.  Manchester Airport to me is as hemorrhoids are to a fat obese Manchester Airport Security Manager.  With Love - a traveler who loves Manchester's low class systems ...",1
