,review,score
0,"Visit Bangkok Suvarnabhumi Airport many times. It still is clean, spacious and the information given is very accurate. Staff are very friendly, prices of food and beverage are okay. There are many seats to sit on.",8.0
1,"They have decided to get rid of the smoking areas within the terminal and won't let you out of the terminal. Not ideal if you're a smoker after a long haul flight and with a 9 hour lay over. Writing this to distract myself because everything is annoying me right now. Never want to come back because of this bs, doesn't make sense for a major international hub",1.0
2,"Bangkok Suvarnabhumi Airport is okay for arrival. The procedure was quick. Immigration Visa on Arrival was quick and easy and there is a train link to Siam (Central Bangkok) via the Airport Transit via Phaya Thai Station. It's a different ballgame when you are departing. If you don't have boarding pass then you should arrive at the airport in plenty of time as check-in queue can be very slow. I never been in a airport with so many passport and boarding pass checks, they have so many staff. The issue is the strange terminal system and very long walks. It's designed that way so you can spend money on the hundreds of shops that line the concourse. There are few water dispensers. Not a place I want to be be for a long time.",5.0
3,"Made a transit from domestic to international With check-out and check-in of luggage. A cumbersome procedure (completely unnecessary) arrives two floors lower than the departure hall Which means that you have to transport your luggage a long way (not good). The staff at check in were very good and helpful. Business class has its own passport control and security check so there were no queues absolutely perfect. In its entirety, BKK worked well in addition to having to transport the luggage itself through the airport.",5.0
4,"Great airport but the closure of the smoking rooms is very frustrating, please open them again. Almost every time I am here I have to get a bus from the plan to the terminal when there are many free sky bridge. Why is this?",6.0
5,"Again a very poor experience of another Thailand Airport. Here you go: 1) All the washrooms are always being cleaned, and the cleaning staff are very rude and ask you to leave and go to a far away counter. 2) The Check in time taken for every passenger was very high, and all the counters very slow in pace to deal with people, irrespective the airport was empty. 3) Staff again do not understand English, very rude and uncooperative. 4) Gates too far even though, airport was empty. 5) Almost all food shops were closed, almost negligible options to eat / drink. 6) Drinking water has become a business now, with no display signs of airport provided drinking water and placing vending machines for water every where. 7) The most dirty airport I have ever come across, with huge piles of garbage bags all over every place from security to E6 gate which is good 15 ins walk. Very poor cleanliness.",4.0
6,"Very hot inside. I'm sure the aircon was an after thought. Sure there are aircon stations scattered throughout the terminal, most don't work or provide any comfort. Hey Suvarnabhumi Boss, try walking from one end to the other end with your luggage. You will need to shower all the sweat off your body and change your clothes. So if you all wonder why the person sitting next to you on the airplane smells of body odor, you can blame this airport. Suvarnabhumi Airport, a huge tent in a tropical climate. Air inside is hot and stale. And where is the seating for resting? What a waste of money building this horrible airport.",1.0
7,"Suvarnabhumi is big, very big. But even in this way, you don't have the space to walk. There are 3 airports in Bangkok. Why do the airlines use only this one? The problem is that the city is a hub, so it's almost impossible to travel by Southeast Asia without passing by this airport, or better, this crazy place (and the signs are useful, but there are too many people to see it).",5.0
8,"Very crowded airport. It was very difficult to find the check-in kiosk. I arrived at the airport by the skytrain, that was pretty good. Nonetheless, it was difficult to go to the level 4 with luggage. Staff hardly speak in English. Wifi service was really good.",5.0
9,"A very large airport. Very crowded. Very unorganized. Staffs are good though most of them cannot speak in English. There are many shops and food courts that are obviously very expensive. Airport shuttle bus with Don Muang is available for free from level 2. However, airport link train is available at level 1. Taxis are also available at level 2. Wifi is good.",6.0
10,"I have been using this airport since I started living in Bangkok. It is a huge airport. Immigration staff are good though they are bad at English. Very crowded airport. Everything is costly. It is good that this airport has airport link train and buses. Taxis are also available in meter, taxi fare is always high.",7.0
11,"After several trips through this airport (itself) and a host of other Asian airports (Incheon, HK, changi, Dubai, Beijing, Shanghai among others), I can positively state that this is one of the worst ""big"" airports. It is a huge mall strip like Orchard or Gangnam, it is not an airport. Sure, other airports have ""malls"" too but they are frequently interspersed with passenger seating areas, relaxation places, and facilities. This airport has very little of that. Not even sufficient travelators when you are tired. Try going from arrival in A to Gate D7 for your next flight when you have had little sleep. And the facilities like showers etc are sparse and only in expensive lounges, unlike other major airports. If you want those, you need to exit. Most staff are so laid back that no one knows anything. Toilets vary in quality of maintenance and some of them are kept in bad shape. The wi-fi is so-so. The only redeeming thing is the food selection but I am not there for food. There is nothing in this airport that says ""we are here to make your passage a little more comfortable."" If possible, avoid this airport as a connection point. Fact is that this airport has been like this for ages. (And after this last trip, I am determined never to pass through Suvarnabhumi unless I am traveling to Thailand, then I have no alternative).",2.0
12,"The staff have a lack of knowledge, lack of patience and are very impolite. They could not explain to passengers properly and when being questioned they just yell at passengers. The airport is always overcrowded and the facilities are very poor.",1.0
13,For the last couple of years travelling transit through the airport is totally going downhill. You arrive at one end of the airport example C gates and once you get through transit security which is nightmarish now and takes a very long time you find that your departure gate is on the other side of the airport and then you have to wait for a bus to take to to your plane. You get no time to sit and have a beer to help you recover from a 12 hour flight from London as you make the mad rush once through security to your endless walk to the other side of this airport. Don't like this airport now as you are not able to relax while going transit to your next flight. Horrendous crowded security checks at transit with very unhappy staff dealing with you. Heathrow and Ho Chi Minh airports are like heaven compared to Bangkok Suvarnabhumi Airport. I am seriously thinking about leaving Thai Airways too as their services are very bad too as compared to a few years ago. Its time for a change to another airline and airport and stay clear of Bangkok Suvarnabhumi Airport.,2.0
